
北京,,2017-03-02,烤鸭,杏仁豆腐,炸灌肠,小豆凉糕,三文鱼刺身,酥炸大虾,刺身拼盘,牛肉松小贝,潮汕火锅,提拉米苏
北京,北京,2017-03-02,烤鸭,杏仁豆腐,炸灌肠,小豆凉糕,三文鱼刺身,酥炸大虾,刺身拼盘,牛肉松小贝,潮汕火锅,提拉米苏
北京,,2017-03-01,梨球果仁虾,杏仁豆腐,酥皮虾,三文鱼刺身,酥炸大虾,刺身拼盘,鲍鱼,梨汤脱骨鸡,牛肉松小贝,肘子
北京,北京,2017-03-01,梨球果仁虾,杏仁豆腐,酥皮虾,三文鱼刺身,酥炸大虾,刺身拼盘,鲍鱼,梨汤脱骨鸡,牛肉松小贝,肘子
天津,,2017-03-02,三文鱼刺身,麻辣小龙虾,三杯鸡,金丝小枣煨肘子,泡椒鸡,柠檬鸡,蔬菜沙拉,牛肉松小贝,蜜汁梅肉,虾饺皇
天津,天津,2017-03-02,三文鱼刺身,麻辣小龙虾,三杯鸡,金丝小枣煨肘子,泡椒鸡,柠檬鸡,蔬菜沙拉,牛肉松小贝,蜜汁梅肉,虾饺皇
天津,,2017-03-01,三文鱼刺身,烤鸭,桂花糖芋苗,麻辣小龙虾,三杯鸡,金丝小枣煨肘子,蔬菜沙拉,牛肉松小贝,蜜汁梅肉,绿茶饼
天津,天津,2017-03-01,三文鱼刺身,烤鸭,桂花糖芋苗,麻辣小龙虾,三杯鸡,金丝小枣煨肘子,蔬菜沙拉,牛肉松小贝,蜜汁梅肉,绿茶饼
河北,,2017-03-02,神仙鸡,榴莲披萨,羊肉串,潮汕火锅,蛋挞,烤鸭,三文鱼刺身,剁椒鱼头,皮皮虾,辣炒花蛤
河北,石家庄,2017-03-02,潮汕火锅,神仙鸡,烤鸭,麻辣小龙虾,蛋挞,捞派滑牛肉,骨渣丸子,三文鱼刺身,巴沙鱼,牛肚
河北,唐山,2017-03-02,榴莲披萨,神仙鸡,五花肉,台湾油煎肝,东北大拉皮,锅包肉,南烧冬笋,东北杀猪菜,菠萝海鲜炒饭,烤面包
河北,秦皇岛,2017-03-02,辣炒花蛤,皮皮虾,剁椒鱼头,蒜蓉粉丝扇贝,梭子蟹,蒸饺,辣炒蛏子,水饺,三文鱼刺身,酱烧笔管鱼
河北,邯郸,2017-03-02,烤肉,肉蟹煲,香辣蟹,烤鸭,三文鱼刺身,牛肉,情人果,扇贝,比特堡肥牛,牛排
河北,邢台,2017-03-02,红汤梭边鱼,土贡梅煎,鱼香肉丝,飘香龙利鱼,川味香肠,满堂飘香鸡,五花肉,浓汤白菜,调味牛排,萝卜丸子
河北,保定,2017-03-02,神仙鸡,咖喱皇炒梭子蟹,菠萝海鲜炒饭,铁板龙利鱼,烤牛肉,南瓜粥,烤牛五花肉,剁椒鱼头,虾饺皇,羊肉串
河北,张家口,2017-03-02,烤羊排,羊肉串,调味牛排,烩南北,烤奶皮,手扒肉,手把肉,乌江鱼,皇家肘子,羊蝎子
河北,承德,2017-03-02,烧饼,羊杂汤,煎碗坨,溜咯吱,草莓薄底披萨,羊肉串,印象小炒,炸豆腐,杏仁茶,莜面
河北,沧州,2017-03-02,五花肉,调味牛排,海杂鱼泡饼,大锅炖鱼,辣牛肉,烤全牛,皮皮虾,石锅拌饭,烤生蚝,神仙鸡
河北,廊坊,2017-03-02,榴莲披萨,羊肉串,蛋挞,草莓巧克力比萨,玉米粥,鸡翅根,坛香肉,牛排,鸡肉串,酸菜鱼
河北,衡水,2017-03-02,咖喱,炸油条,烤肉,凉拌面筋,烤羊肉,虾锅,李公主寿司,面条,牛肉拉面,土豆色拉
河北,,2017-03-01,榴莲披萨,辣炒花蛤,羊肉串,潮汕火锅,烤鸭,皮皮虾,神仙鸡,剁椒鱼头,三杯鸡,红汤梭边鱼
河北,石家庄,2017-03-01,潮汕火锅,烤鸭,抻面,三文鱼刺身,捞派滑牛肉,墨鱼饺子,毛血旺,三杯鸡,牛肚,绿龙寿司卷
